time,value
1543067191,9122611.2
1543070808,9227468.8
1543074424,8912896.0
1543078041,9017753.6
1543081658,9227468.8
1543085274,9122611.2
1543088891,8808038.4
1543092508,8808038.4
1543096125,8912896.0
1543099741,9017753.6
1543103358,9332326.4
1543106974,9332326.4
1543110881,9332326.4
1543114830,9122611.2
1543118765,9122611.2
1543122382,8912896.0
1543125999,8912896.0
1543129616,9017753.6
1543133234,9227468.8
1543136851,9227468.8
1543140467,9332326.4
1543144084,9227468.8
1543147701,9227468.8
1543151318,9122611.2
1543154934,9227468.8
1543158551,9332326.4
1543162167,9437184.0
1543166040,9542041.6
1543169989,9542041.6
1543173940,9227468.8
1543177854,9017753.6
1543181471,9437184.0
1543185088,9332326.4
1543188704,9227468.8
1543192321,9437184.0
1543195938,9437184.0
1543199555,9437184.0
1543203171,9332326.4
1543206788,9122611.2
1543210405,9122611.2
1543214021,9332326.4
1543217638,9017753.6
1543221254,9332326.4
1543225148,9227468.8
1543229097,9227468.8
1543233048,9227468.8
1543236957,9332326.4
1543240574,8912896.0
