time,value
1543065501,16148070.4
1543069150,13107200.0
1543072817,13107200.0
1543076494,13107200.0
1543080175,13107200.0
1543083859,13107200.0
1543087543,13107200.0
1543091227,13107200.0
1543094911,13107200.0
1543098596,13107200.0
1543102280,13107200.0
1543105965,13107200.0
1543109650,13107200.0
1543113334,13107200.0
1543117019,13107200.0
1543120703,13107200.0
1543124388,13107200.0
1543128073,13107200.0
1543131757,13107200.0
1543135442,13107200.0
1543139127,13107200.0
1543142811,13107200.0
1543146495,13107200.0
1543150180,13107200.0
1543153864,13107200.0
1543157549,13107200.0
1543161234,13107200.0
1543164918,13107200.0
1543168603,13107200.0
1543172287,13107200.0
1543175972,13107200.0
1543179656,13107200.0
1543183341,13107200.0
1543187025,13107200.0
1543190710,13107200.0
1543194394,13107200.0
1543198079,13107200.0
1543201763,13107200.0
1543205448,13107200.0
1543209133,13107200.0
1543212817,13107200.0
1543216501,13107200.0
1543220186,13107200.0
1543223871,13107200.0
1543227555,13107200.0
1543231239,13107200.0
1543234924,13107200.0
1543238608,13107200.0
